agent,run,chunk_kib,conns,sent_mib,wall_s,throughput_mib_s,cpu_s,cpu_ms_per_mib
original,1,64,4,2048.0,3.506,584.1,3.35,1.636
original,2,64,4,2048.0,3.247,630.8,3.05,1.489
original,3,64,4,2048.0,3.418,599.2,3.28,1.602
original,1,4,4,512.0,1.370,373.7,1.35,2.637
original,2,4,4,512.0,1.509,339.4,1.47,2.871
original,3,4,4,512.0,1.463,350.1,1.42,2.773
original,1,64,1,2048.0,4.596,445.6,3.25,1.587
original,2,64,1,2048.0,3.566,574.3,2.82,1.377
original,3,64,1,2048.0,3.396,603.1,2.72,1.328
ractor,1,64,4,2048.0,2.720,753.1,2.51,1.226
ractor,2,64,4,2048.0,2.775,738.0,2.54,1.240
ractor,3,64,4,2048.0,2.955,693.0,2.68,1.309
ractor,1,4,4,512.0,1.900,269.5,1.85,3.613
ractor,2,4,4,512.0,1.845,277.6,1.76,3.438
ractor,3,4,4,512.0,1.840,278.3,1.77,3.457
ractor,1,64,1,2048.0,4.229,484.2,2.87,1.401
ractor,2,64,1,2048.0,2.829,723.8,2.43,1.187
ractor,3,64,1,2048.0,2.807,729.5,2.41,1.177
